player,age,height
Oren Motevassel,26,196
Hugo Armando,34,194
Ivan Miranda,30,191
Carlos Rexach Itoiz,27,185
Alexander Waske,26,182
Lazaro Navarro Batles,30,186
Mark Hilton,30,178
Zack Fleishman,23,181
Diego Ayala,27,182
David Critchley,22,195
Pablo Bianchi,21,178
Jacobo Chavez,31,174
Ronaldo Carvalho,25,176
Gustavo Marcaccio,21,170
Rafael Avalos Brenes,20,173
Marc Canovas,31,197
Luiz Carvalho,31,195
Rodolfo Rake,36,173
Ferran Ventura Martell,29,185
Gwenael Gueit,35,174
Igor Fejzula,34,191
Dominic Boulet,34,173
Jose Baires,31,175
Simon Dickson,22,195
Carlos Caceres,24,192
Magnus Norman,26,172
Rainer Schuettler,28,194
Fabrice Santoro,26,177
Younes El Aynaoui,37,186
Nicolas Kiefer,23,198
Max Mirnyi,33,187
Mikael Tillstrom,37,187
George Bastl,28,195
Sjeng Schalken,21,194
Daniel Vacek,34,181
Gaston Gaudio,26,194
Andrei Cherkasov,31,194
Alberto Berasategui,27,170
John Van Lottum,34,192
Franco Squillari,22,181
Juan Antonio Marin,33,180
Thomas Enqvist,36,182
Michal Tabara,23,172
Lorenzo Manta,37,196
Jerome Golmard,27,194
Markus Hantschk,23,177
Cedric Pioline,21,172
Martin Damm Sr,25,186
Davide Sanguinetti,29,194
Tuomas Ketola,23,182
Jamie Delgado,37,179
Leander Paes,31,186
Andreas Vinciguerra,21,172
Jiri Vanek,29,182
Tomas Behrend,23,191
Orlin Stanoytchev,33,175
Fredrik Jonsson,35,183
Ronald Agenor,34,196
Cristiano Caratti,27,179
Tim Henman,33,189
Jean Rene Lisnard,27,185
Jan Michael Gambill,35,187
Roger Federer,32,182
Lleyton Hewitt,37,179
Nicolas Escude,34,175
Sebastien Grosjean,32,179
Jason Stoltenberg,28,174
Alberto Martin,34,198
Slava Dosedel,32,175
Christian Vinck,20,176
Dejan Petrovic,26,180
James Sekulov,28,185
Richard Fromberg,20,194
Nikolay Davydenko,31,181
Marc Marco Ripoll,27,181
Marc Lopez,30,199
David Sanchez,36,192
Kobi Ziv,27,189
Ladislav Svarc,22,195
Hendri Susilo Pramono,22,174
Jeremy Delinbeuf,20,185
Eduardo Nicolas,24,198
Nitten Kirrtane,29,175
Andy Ram,26,198
Pavel Snobel,28,178
Vishal Uppal,26,174
Denis Golovanov,28,190
Kirill Ivanov Smolensky,27,192
Julien Jeanpierre,31,185
Carlos Castellanos,21,187
Salvador Navarro,20,188
Diego Hipperdinger,35,181
Sander Groen,24,171
Marc Fornell Mestres,22,195
Andrew Ilie,31,179
Juan Albert Viloca Puig,27,181
Feliciano Lopez,22,183
Quino Munoz,20,187
Gabriel Frias,22,188
Marcio Carlsson,24,175
Ivan Navarro,34,174
Oscar Serrano,33,196
German Puentes,22,185
Emilio Viuda Hernandez,20,183
Sandeep Kirtane,24,182
Suwandi Suwandi,33,190
Marc Rosset,26,171
Jiri Novak,28,171
Thomas Johansson,34,181
Magnus Gustafsson,34,170
Michael Sell,29,188
Juan Carlos Ferrero,32,197
Juan Balcells,26,197
Tommy Haas,36,196
David Miketa,23,185
Michael Chang,24,199
Julien Benneteau,26,176
Julien Cuaz,32,196
Karol Kucera,34,190
Kris Goossens,30,176
Filip Dewulf,23,185
Slimane Saoudi,32,194
Julien Varlet,26,175
Nicolas Coutelot,21,187
Saurav Panja,29,170
Nir Welgreen,32,170
Reginald Willems,25,195
Jan Hernych,31,194
Arnaud Fontaine,31,183
Igor Kunitsyn,30,175
Johan Van Herck,26,175
Gerard Solves,20,173
Eric Prodon,20,181
Mounir El Aarej,32,199
Dimitri Mazur,28,187
Alex Calatrava,22,179
Lucas Arnold Ker,26,172
Jan Hermansson,25,172
Gregory Carraz,27,177
Jalal Chafai,28,191
Harel Levy,24,192
Gabriel Trifu,20,194
David Caballero,29,170
Konstantin Don Gruber,31,187
Gerardo Morales,34,184
Jack Brasington,28,194
Irakli Labadze,36,190
Hicham Arazi,36,189
Alex Corretja,31,186
Adrian Voinea,26,194
Francisco Clavet,21,180
Rodolphe Gilbert,22,182
Rene Nicklisch,36,194
Wade Mcguire,24,189
Eyal Erlich,36,194
Jeff Salzenstein,36,179
Jonathan Stark,36,182
Michael Russell,21,186
Jurgen Melzer,21,190
Vinod Sridhar,24,170
Ivan Ljubicic,20,189
Nicolas Lapentti,20,185
Antonio Alcaraz,21,185
Manuel Sala,31,197
Francisco Fogues,25,190
Stefan Koubek,23,199
Dominik Hrbaty,30,196
Todd Martin,36,172
Arnaud Clement,25,171
Grant Stafford,24,175
Grant Doyle,21,180
Noam Okun,25,198
Petr Luxa,30,172
Stephane Huet,35,195
Dusan Vemic,35,170
Wolfgang Schranz,20,180
Raemon Sluiter,28,182
Lars Burgsmuller,25,174
Arvind Parmar,35,187
Alejandro Hernandez,22,184
Marcos Ondruska,23,187
Sebastien De Chaunac,22,184
Frantisek Cermak,26,189
Paul Hanley,28,189
Mike Bryan,20,189
Leos Friedl,27,176
Noam Behr,26,186
Sebastian Prieto,37,198
Kevin Ullyett,27,177
Bob Bryan,20,197
Taylor Dent,30,182
Radek Stepanek,37,195
Christophe Rochus,29,185
James Blake,22,194
Yaoki Ishii,26,179
Jeff Coetzee,35,198
Cyril Saulnier,35,183
Tommy Robredo,36,175
Lionel Roux,21,189
Petr Dezort,20,191
Rodolphe Cadart,35,195
Andrei Stoliarov,31,176
Jerome Hanquez,24,175
Xavier Malisse,24,196
Julien Boutter,28,186
Alex Obrien,28,190
Julian Knowle,22,193
Michael Llodra,35,177
Olivier Malcor,35,181
Wayne Black,22,195
Paul Kilderry,20,194
Glenn Knox,30,173
Gergely Kisgyorgy,36,179
Barry Cowan,27,175
Luke Smith,23,176
Danai Udomchoke,25,190
Vasilis Mazarakis,27,196
Frederic Niemeyer,22,177
Edwin Kempes,35,172
Mark Knowles,22,177
Fernando Vicente,37,184
Vincenzo Santopadre,33,199
Konstantinos Economidis,37,190
Nenad Zimonjic,21,170
Richard Krajicek,22,182
Mark Philippoussis,35,191
Pete Sampras,28,187
Chris Woodruff,23,184
Jonas Bjorkman,20,176
Wayne Ferreira,23,184
Karim Alami,20,194
Mariano Zabaleta,33,172
Yevgeny Kafelnikov,35,199
Gianluca Pozzi,27,195
Goran Ivanisevic,26,183
Jan Kroslak,22,189
Laurence Tieleman,36,173
Antony Dupuis,20,173
Andre Agassi,35,172
Todd Woodbridge,31,174
Albert Portas,33,194
Axel Pretzsch,25,180
Michael Hill,25,177
Paradorn Srichaphan,32,195
Mark Woodforde,27,171
Oliver Marach,21,197
Nicolas Devilder,20,185
Norbert Mazany,34,194
Stephane Martinez,20,197
Davide Scala,24,179
Olivier Rochus,35,187
Markus Kanellos,23,176
Radim Zitko,22,174
Mustafa Ghouse,36,198
Tomas Janci,36,176
Ion Moldovan,31,190
Javier Perez Vazquez,33,197
Francisco Cabello,25,175
Diego Moyano,22,193
Dimitri Lorin,28,170
Iztok Bozic,24,198
Jean Michel Pequery,36,180
Florent Serra,33,182
Ivan Rodrigo,22,181
Thierry Ascione,20,170
Leonardo Olguin,20,190
Miles Maclagan,22,184
Boris Borgula,37,170
Anton Kokurin,29,172
Melle Van Gemerden,22,195
Nicolas Todero,27,184
Solon Peppas,33,178
Michael Joyce,37,183
Marcos Daniel,34,198
Lovro Zovko,21,192
Arne Kreitz,29,197
Victor Bruthans,21,191
Jimy Szymanski,36,193
Artem Derepasko,27,177
David Skoch,20,191
Dario Sciortino,28,173
Marko Tkalec,30,189
Riccardo Ciruolo,35,189
Per Thornadtsson,26,175
