player,recent_form,surface_winrate
Oren Motevassel,0.56,0.65
Hugo Armando,0.59,0.66
Ivan Miranda,0.71,0.75
Carlos Rexach Itoiz,0.65,0.43
Alexander Waske,0.73,0.47
Lazaro Navarro Batles,0.42,0.67
Mark Hilton,0.45,0.93
Zack Fleishman,0.89,0.86
Diego Ayala,0.9,0.89
David Critchley,0.77,0.48
Pablo Bianchi,0.53,0.93
Jacobo Chavez,0.88,0.8
Ronaldo Carvalho,0.51,0.58
Gustavo Marcaccio,0.77,0.88
Rafael Avalos Brenes,0.46,0.81
Marc Canovas,0.72,0.81
Luiz Carvalho,0.78,0.8
Rodolfo Rake,0.83,0.84
Ferran Ventura Martell,0.77,0.92
Gwenael Gueit,0.86,0.48
Igor Fejzula,0.66,0.95
Dominic Boulet,0.74,0.88
Jose Baires,0.58,0.64
Simon Dickson,0.41,0.49
Carlos Caceres,0.78,0.65
Magnus Norman,0.83,0.83
Rainer Schuettler,0.49,0.73
Fabrice Santoro,0.41,0.55
Younes El Aynaoui,0.48,0.62
Nicolas Kiefer,0.85,0.92
Max Mirnyi,0.55,0.84
Mikael Tillstrom,0.52,0.47
George Bastl,0.41,0.7
Sjeng Schalken,0.55,0.91
Daniel Vacek,0.76,0.42
Gaston Gaudio,0.88,0.42
Andrei Cherkasov,0.56,0.79
Alberto Berasategui,0.52,0.72
John Van Lottum,0.84,0.43
Franco Squillari,0.83,0.95
Juan Antonio Marin,0.56,0.72
Thomas Enqvist,0.43,0.67
Michal Tabara,0.9,0.65
Lorenzo Manta,0.74,0.79
Jerome Golmard,0.86,0.65
Markus Hantschk,0.57,0.76
Cedric Pioline,0.72,0.67
Martin Damm Sr,0.74,0.74
Davide Sanguinetti,0.84,0.84
Tuomas Ketola,0.9,0.85
Jamie Delgado,0.45,0.87
Leander Paes,0.72,0.51
Andreas Vinciguerra,0.57,0.43
Jiri Vanek,0.81,0.86
Tomas Behrend,0.78,0.42
Orlin Stanoytchev,0.85,0.52
Fredrik Jonsson,0.57,0.69
Ronald Agenor,0.49,0.87
Cristiano Caratti,0.41,0.89
Tim Henman,0.53,0.75
Jean Rene Lisnard,0.58,0.93
Jan Michael Gambill,0.87,0.8
Roger Federer,0.65,0.69
Lleyton Hewitt,0.68,0.47
Nicolas Escude,0.84,0.64
Sebastien Grosjean,0.84,0.85
Jason Stoltenberg,0.66,0.56
Alberto Martin,0.46,0.72
Slava Dosedel,0.54,0.94
Christian Vinck,0.63,0.5
Dejan Petrovic,0.78,0.46
James Sekulov,0.76,0.84
Richard Fromberg,0.72,0.41
