Player,Surface,ELO
Oscar Kreuzer,Clay,1531.263693206478
Max Decugis,Clay,1484.7023986633528
Andrea Maurice Henri Gobert,Clay,1507.3005930522904
Friedrich Wilhelm Rahe,Clay,1513.2648610928322
Percival May Davson,Clay,1498.6272959590062
Algie Kingscote,Clay,1528.0191664833421
William Laurentz,Clay,1453.4062607556773
Kick Van Lennep,Clay,1506.0806527334066
Louis Raymond,Clay,1503.3605686332935
Arthur Diemer Kool,Clay,1491.3898530579886
Charles Winslow,Clay,1532.6684908377624
Randolph Lycett,Clay,1528.4575632600952
Manuel De Gomar,Clay,1472.162044930929
Francis Gordon Lowe,Clay,1509.6436491296365
Manuel Alonso De Areyzaga,Clay,1572.4839618790177
Mohammed Sleem,Clay,1559.7108810991779
Lewis Seymour Deane,Clay,1516.0
Toto Brugnon,Clay,1567.9641903481029
Jean Pierre Samazeuilh,Clay,1447.677789325246
Sydney Montague Jacob,Clay,1552.05418079755
Clarence V Todd,Clay,1516.0
Henri Laframboise,Clay,1468.736306793522
John Hawkes,Clay,1516.0
Paul Bennett,Clay,1469.4358728782763
James Outram Anderson,Clay,1592.4102145754975
Gerald Leighton Patterson,Clay,1578.9229233252063
Karel Ardelt,Clay,1470.0982942088476
Friedrich Rohrer,Clay,1471.4272340474474
Lucien E Williams,Clay,1517.5736491210168
Arthur C Nielsen,Clay,1500.736306793522
Frank Hunter,Clay,1626.5585757169931
Samuel B Gilpin,Clay,1500.736306793522
Lawrence B Rice,Clay,1515.3551872582327
Frederick  C Baggs,Clay,1500.736306793522
Bill Johnston,Clay,1562.5616255853438
Stanley W Pearson,Clay,1517.4387739660467
John W Hubbell,Clay,1485.4358728782763
Elliott H Binzen,Clay,1531.3213711892354
Hugh Gm Kelleher,Clay,1500.736306793522
Howard Oreon Kinsey,Clay,1563.2472711630958
William Jackson Clothier,Clay,1517.4387739660467
Watty Washburn,Clay,1531.4144026385713
Clarence M Charest,Clay,1517.4387739660467
Samuel Howard Voshell,Clay,1517.528411764388
William W Ingraham,Clay,1517.8911593453518
Cedric A Major,Clay,1484.0
Ray D Johnson,Clay,1515.2665494457933
Philips L Goldsborough Jr,Clay,1500.736306793522
Zenzo Shimidzu,Clay,1548.502441519438
Herman F Dornheim,Clay,1500.736306793522
Dick Williams,Clay,1547.7282193001815
John F Whitbeck,Clay,1500.736306793522
William Potter Wear,Clay,1516.095152655876
Walter Newell,Clay,1500.736306793522
Leon De Turenne,Clay,1515.2683452841761
Andrew S Morgan,Clay,1500.736306793522
Wallace Ford Johnson,Clay,1531.3586653625812
Charles Watson,Clay,1500.736306793522
Pat O'Hara Wood,Clay,1533.9300051382463
Murray Vernon,Clay,1500.736306793522
Willis E Davis,Clay,1515.3922100191005
Lyman Tremaine,Clay,1500.736306793522
Lyman L Tremaine,Clay,1518.6517526742525
L Harry Richards Jr,Clay,1500.736306793522
Bill Tilden Ii,Clay,1743.6513890071747
George King,Clay,1500.736306793522
Kirk M Reid,Clay,1503.220009507719
Vinnie Richards,Clay,1601.2797668715314
Carl Fischer,Clay,1517.4387739660467
Perry E Hall,Clay,1516.0577950278528
Roy R Coffin,Clay,1500.736306793522
Herbert L Bowman,Clay,1532.0378659176056
Frank T Anderson,Clay,1516.7023986633528
Perry S Osborne,Clay,1515.2976013366472
Norman Bramall,Clay,1500.736306793522
Robert G Kinsey,Clay,1533.9971744573606
Edward M Edwards,Clay,1500.8682590480348
Edward T Herndon,Clay,1500.0338330211207
John Francis Hennessey,Clay,1610.2167670916126
Henry H Bassford,Clay,1484.0339081301693
Frank A Fall,Clay,1483.2298601853572
Edward C Hall,Clay,1484.0019162161343
Thomas C Leonards,Clay,1500.0018279711214
Rupert C Wertheim,Clay,1484.0
I Biltchik,Clay,1484.8679167694818
William J Gallon,Clay,1499.2975328274754
Clifford Lockhorn,Clay,1484.0
John T Graves Jr,Clay,1483.2700491623102
Edward J Oelsner,Clay,1483.263693206478
Robert F Norton,Clay,1484.0759670617854
Jpotter Stockton,Clay,1483.263693206478
Armand L Bruneau,Clay,1483.3833683145074
Alexander D Thayer,Clay,1488.0630132018134
Kenneth Stoddart,Clay,1483.263693206478
Jack Dudley,Clay,1483.9660918698307
Hanson H Hodge,Clay,1484.128010073903
Chuck Garland,Clay,1501.4399566050834
John A Magee,Clay,1484.0
Robert W Gilmore,Clay,1484.8586146115558
Leonard A Beekman,Clay,1499.2975328274754
Charles S Rogers,Clay,1484.0
Is Cravis,Clay,1483.263693206478
Arthur L Reed,Clay,1484.0373018987311
Phil Bagby,Clay,1500.0355840917255
Alexander Iler,Clay,1484.0
Harold E Lane,Clay,1483.263693206478
Tom Mangan,Clay,1485.5088516343994
Jose Maria Alonso De Areyzaga,Clay,1499.2975328274754
Fred C Anderson,Clay,1484.0
Alfred H Chapin Jr,Clay,1499.9717304116648
Earl C Bache,Clay,1484.0
Harold Colburn,Clay,1483.263693206478
William T Campbell,Clay,1499.2975328274754
Joseph M Lewin,Clay,1484.0
Paul A Casey,Clay,1483.2682189282032
Watson T Knight,Clay,1499.3018513885518
Louis S De Lone,Clay,1484.0
Robert Leroy,Clay,1500.8191826660413
Armand Marion,Clay,1484.0
Ralph L Baggs,Clay,1483.9703657064842
Horace R Hayday,Clay,1483.263693206478
Sidney Thayer Jr,Clay,1487.6217760080376
Gal Dionne,Clay,1483.263693206478
Phil Neer,Clay,1483.263693206478
Craig Biddle,Clay,1469.59492109945
